"weight" "state" "age" "gender" "vote" "unit"
3396.5454 12 3 2 NA 0
3230.2428 12 2 2 1 0
3951.1915 12 1 2 2 0
3182.1659 12 0 2 2 0
3388.0261 12 1 1 1 0
3234.1708 12 1 1 1 0
3475.5158 12 2 2 2 0
3325.1819 12 3 2 2 0
3462.063 12 2 1 2 0
3577.3599 12 1 1 2 0
3247.6379 12 1 2 2 0
3284.8007 12 2 2 1 0
3589.1893 12 3 1 2 0
4188.1556 12 3 2 2 0
3180.7777 12 1 2 2 0
3723.4197 12 0 2 2 0
3678.5372 12 1 1 NA 0
2706.5504 12 2 2 2 0
3386.6136 12 1 2 1 0
3289.6476 12 2 2 2 0
3159.1364 12 2 2 1 0
3374.1099 12 0 1 2 0
4150.9799 12 1 1 NA 0
4006.2583 12 1 2 NA 0
3370.2199 12 3 2 2 0
3399.0387 12 3 1 2 0
3169.3844 12 2 2 2 0
3444.998 12 3 2 2 0
3326.388 12 1 2 2 0
4303.4107 12 0 2 NA 0
3163.5266 12 1 1 NA 0
3476.3591 12 3 1 2 0
3691.2313 12 3 2 2 0
5070.0426 12 0 1 1 0
4612.8987 12 0 2 2 0
3135.2654 12 3 1 2 0
3069.1676 12 3 1 2 0
3180.7379 12 2 2 2 0
4367.3501 12 2 2 1 0
3172.9481 12 2 1 2 0
3140.6499 12 NA 1 NA 0
3568.616 12 2 1 2 0
3463.8762 12 2 2 2 0
4268.798 12 1 2 2 0
3382.2101 12 3 2 2 0
3501.1731 12 2 1 1 0
3522.406 12 2 2 1 0
3040.9553 12 1 2 NA 0
4146.0423 12 2 1 2 0
3907.2382 12 1 2 2 0
3078.934 12 2 2 1 0
3950.3841 12 0 1 1 0
3580.8169 12 2 1 2 0
3544.954 12 2 2 2 0
4342.8444 12 0 1 1 0
3294.049 12 3 1 2 0
3312.6703 12 1 1 1 0
3462.063 12 2 1 1 0
3254.0594 12 1 2 2 0
3643.2593 12 2 1 2 0
3297.0768 12 2 2 2 0
3462.063 12 2 1 2 0
3462.063 12 2 1 1 0
3422.5804 12 NA 1 NA 0
3567.1519 12 NA 2 NA 0
3925.1558 12 NA 1 NA 0
3411.1499 12 2 1 2 0
3462.7013 12 2 2 2 0
3653.2242 12 2 1 2 0
