"","weight","state","age","gender","vote","unit"
"166",3181.3621,12,2,1,1,0
"167",3780.3104,12,1,2,2,0
"168",3723.0804,12,1,1,1,0
"169",3862.5205,12,0,1,2,0
"170",3254.0594,12,1,2,2,0
"171",3404.0186,12,3,2,2,0
"172",2923.4127,12,3,1,2,0
"173",3449.1656,12,NA,2,NA,0
"174",3560.3195,12,1,1,2,0
"175",3247.6379,12,1,2,2,0
"176",3720.712,12,0,1,1,0
"177",3555.1232,12,2,1,2,0
"178",3466.309,12,2,1,NA,0
"179",3609.1317,12,3,2,NA,0
"180",3550.8103,12,1,2,2,0
"181",3234.0363,12,2,2,2,0
"182",3793.7386,12,0,1,2,0
"183",3463.8762,12,2,2,2,0
"184",3544.1449,12,2,1,2,0
"185",2908.1435,12,1,1,2,0
"186",3686.3146,12,1,1,2,0
"187",3449.1656,12,2,2,2,0
"188",3146.0378,12,2,1,2,0
"189",3090.2597,12,1,1,2,0
"190",4169.9332,12,1,2,2,0
"191",3159.2678,12,1,1,NA,0
"192",3471.7388,12,1,2,NA,0
"193",4332.4977,12,1,1,2,0
"194",3326.388,12,1,2,2,0
"195",3290.3312,12,0,1,2,0
"196",4203.7442,12,0,2,2,0
"197",3396.5454,12,3,2,NA,0
"198",3230.2428,12,2,2,1,0
"199",3951.1915,12,1,2,2,0
"200",3182.1659,12,0,2,2,0
"201",3388.0261,12,1,1,1,0
"202",3234.1708,12,1,1,1,0
"203",3475.5158,12,2,2,2,0
"204",3325.1819,12,3,2,2,0
"205",3462.063,12,2,1,2,0
"206",3577.3599,12,1,1,2,0
"207",3247.6379,12,1,2,2,0
"208",3284.8007,12,2,2,1,0
"209",3589.1893,12,3,1,2,0
"210",4188.1556,12,3,2,2,0
"211",3180.7777,12,1,2,2,0
"212",3723.4197,12,0,2,2,0
"213",3678.5372,12,1,1,NA,0
"214",2706.5504,12,2,2,2,0
"215",3386.6136,12,1,2,1,0
"216",3289.6476,12,2,2,2,0
"217",3159.1364,12,2,2,1,0
"218",3374.1099,12,0,1,2,0
"219",4150.9799,12,1,1,NA,0
"220",4006.2583,12,1,2,NA,0
"221",3370.2199,12,3,2,2,0
"222",3399.0387,12,3,1,2,0
"223",3169.3844,12,2,2,2,0
"224",3444.998,12,3,2,2,0
"225",3326.388,12,1,2,2,0
"226",4303.4107,12,0,2,NA,0
"227",3163.5266,12,1,1,NA,0
"228",3476.3591,12,3,1,2,0
"229",3691.2313,12,3,2,2,0
"230",5070.0426,12,0,1,1,0
"231",4612.8987,12,0,2,2,0
"232",3135.2654,12,3,1,2,0
"233",3069.1676,12,3,1,2,0
"234",3180.7379,12,2,2,2,0
"235",4367.3501,12,2,2,1,0
"236",3172.9481,12,2,1,2,0
"237",3140.6499,12,NA,1,NA,0
"238",3568.616,12,2,1,2,0
"239",3463.8762,12,2,2,2,0
"240",4268.798,12,1,2,2,0
"241",3382.2101,12,3,2,2,0
"242",3501.1731,12,2,1,1,0
"243",3522.406,12,2,2,1,0
"244",3040.9553,12,1,2,NA,0
"245",4146.0423,12,2,1,2,0
"246",3907.2382,12,1,2,2,0
"247",3078.934,12,2,2,1,0
"248",3950.3841,12,0,1,1,0
"249",3580.8169,12,2,1,2,0
"250",3544.954,12,2,2,2,0
"251",4342.8444,12,0,1,1,0
"252",3294.049,12,3,1,2,0
"253",3312.6703,12,1,1,1,0
"254",3462.063,12,2,1,1,0
"255",3254.0594,12,1,2,2,0
"256",3643.2593,12,2,1,2,0
"257",3297.0768,12,2,2,2,0
"258",3462.063,12,2,1,2,0
